fishery_group,year,month,grid_id,effort
EU,2004,1,470,972
EU,2004,1,490,28
EU,2004,1,510,30
EU,2004,1,520,671
EU,2004,1,538,524
EU,2004,1,539,654
EU,2004,1,540,6358
EU,2004,1,541,579
EU,2004,1,543,1084
EU,2004,1,544,994
EU,2004,1,556,2210
EU,2004,1,557,3582
EU,2004,1,560,1380
EU,2004,1,574,19415
EU,2004,1,590,3928
EU,2004,1,624,358
JP,2004,1,526,1732
JP,2004,1,543,11134
JP,2004,1,544,12500
JP,2004,1,559,309
JP,2004,1,560,235
JP,2004,1,561,729
JP,2004,1,578,617
JP,2004,1,593,5818
JP,2004,1,594,5912
JP,2004,1,595,875
JP,2004,1,610,42231
JP,2004,1,611,57366
JP,2004,1,612,947
JP,2004,1,627,14636
JP,2004,1,628,10426
JP,2004,1,629,1035
OTH,2004,1,595,9592
TW,2004,1,489,14784
TW,2004,1,506,17689
TW,2004,1,507,26968
TW,2004,1,508,51240
TW,2004,1,523,10831
TW,2004,1,524,8421
TW,2004,1,525,16255
TW,2004,1,526,1826
TW,2004,1,527,753
TW,2004,1,540,2509
TW,2004,1,541,3539
TW,2004,1,542,8842
TW,2004,1,543,33973
TW,2004,1,544,2124
TW,2004,1,557,1669
TW,2004,1,558,9900
TW,2004,1,559,65005
TW,2004,1,560,34307
TW,2004,1,561,2381
TW,2004,1,575,575
TW,2004,1,576,1156
TW,2004,1,577,51035
TW,2004,1,578,8635
TW,2004,1,593,2209
TW,2004,1,594,84231
TW,2004,1,595,12308
TW,2004,1,611,42973
TW,2004,1,627,574
TW,2004,1,628,1648
TW,2004,1,639,1980
TW,2004,1,642,1380
TW,2004,1,644,1690
TW,2004,1,645,537
EU,2004,2,543,440
EU,2004,2,544,2417
TW,2004,1,646,794
TW,2004,1,656,180
EU,2004,2,486,587
EU,2004,2,507,75
EU,2004,2,510,1383
EU,2004,2,521,2780
EU,2004,2,522,4708
EU,2004,2,523,136
EU,2004,2,524,1387
EU,2004,2,538,15011
EU,2004,2,540,3354
EU,2004,2,555,578
EU,2004,2,557,8144
EU,2004,2,558,3789
EU,2004,2,559,3459
EU,2004,2,560,2922
EU,2004,2,561,1391
EU,2004,2,574,5877
EU,2004,2,590,2519
JP,2004,2,526,1066
JP,2004,2,543,5309
JP,2004,2,544,3927
JP,2004,2,559,1164
JP,2004,2,560,1216
JP,2004,2,561,655
JP,2004,2,576,176
JP,2004,2,577,4276
JP,2004,2,578,4031
JP,2004,2,593,2875
JP,2004,2,594,5084
JP,2004,2,595,41963
JP,2004,2,610,12062
JP,2004,2,611,44225
JP,2004,2,612,20040
JP,2004,2,627,2641
JP,2004,2,628,5787
JP,2004,2,629,1226
OTH,2004,2,577,704
OTH,2004,2,593,1826
OTH,2004,2,595,4066
OTH,2004,2,629,2042
TW,2004,2,470,2344
TW,2004,2,471,3976
TW,2004,2,486,6831
TW,2004,2,487,1862
TW,2004,2,488,8578
TW,2004,2,489,26997
TW,2004,2,490,1839
TW,2004,2,504,1529
TW,2004,2,505,3315
TW,2004,2,506,26572
TW,2004,2,507,34330
TW,2004,2,508,19003
TW,2004,2,521,94
TW,2004,2,522,214
TW,2004,2,523,4755
TW,2004,2,524,483
TW,2004,2,526,5338
TW,2004,2,537,697
TW,2004,2,538,472
TW,2004,2,540,929
TW,2004,2,541,1330
TW,2004,2,542,2690
TW,2004,2,543,442
TW,2004,2,544,426
TW,2004,2,557,666
TW,2004,2,559,13499
TW,2004,2,560,17895
TW,2004,2,561,12279
TW,2004,2,573,239
TW,2004,2,575,500
TW,2004,2,576,7037
TW,2004,2,577,46386
TW,2004,2,578,16640
TW,2004,2,588,5879
TW,2004,2,593,14168
TW,2004,2,594,31429
TW,2004,2,595,1349
TW,2004,2,605,1789
TW,2004,2,610,515
TW,2004,2,611,9458
TW,2004,2,622,4258
TW,2004,2,628,860
TW,2004,2,629,454
TW,2004,2,639,14883
TW,2004,2,656,8637
TW,2004,2,658,1896
TW,2004,2,659,3626
OTH,2004,2,673,66
EU,2004,3,544,1271
EU,2004,3,555,470
EU,2004,3,590,4927
EU,2004,3,625,13941
JP,2004,3,624,1751
JP,2004,3,641,4655
JP,2004,3,658,400
JP,2004,3,526,2493
JP,2004,3,543,5647
JP,2004,3,544,2038
JP,2004,3,560,4135
JP,2004,3,561,2912
TW,2004,3,544,411
TW,2004,3,554,4252
OTH,2004,2,674,35
EU,2004,3,469,6836
EU,2004,3,470,3606
EU,2004,3,493,1278
EU,2004,3,504,2149
EU,2004,3,505,17008
EU,2004,3,510,1141
EU,2004,3,527,174
EU,2004,3,537,1587
EU,2004,3,538,1763
EU,2004,3,540,4131
EU,2004,3,541,790
JP,2004,3,577,9826
JP,2004,3,578,30497
JP,2004,3,593,4143
JP,2004,3,594,5349
JP,2004,3,595,52137
JP,2004,3,609,852
JP,2004,3,610,2764
JP,2004,3,611,5541
JP,2004,3,612,9757
JP,2004,3,626,188
JP,2004,3,627,6052
JP,2004,3,628,2149
JP,2004,3,629,4066
JP,2004,3,643,543
JP,2004,3,644,461
JP,2004,3,645,164
OTH,2004,3,578,3015
OTH,2004,3,629,1498
TW,2004,3,435,314
TW,2004,3,451,1787
TW,2004,3,452,3124
TW,2004,3,468,759
TW,2004,3,469,3911
TW,2004,3,470,6566
TW,2004,3,471,528
TW,2004,3,485,32068
TW,2004,3,486,3806
TW,2004,3,487,579
TW,2004,3,488,388
TW,2004,3,489,853
TW,2004,3,507,856
TW,2004,3,508,1292
TW,2004,3,522,165
TW,2004,3,525,96
TW,2004,3,527,73
TW,2004,3,537,1466
TW,2004,3,540,490
TW,2004,3,543,11322
TW,2004,3,560,56143
TW,2004,3,561,2606
TW,2004,3,576,2409
TW,2004,3,577,11477
TW,2004,3,578,6829
TW,2004,3,588,4177
TW,2004,3,593,3251
TW,2004,3,594,3679
TW,2004,3,605,8125
TW,2004,3,610,3210
TW,2004,3,611,9649
TW,2004,3,612,181
TW,2004,3,622,7804
TW,2004,3,627,540
