fishery_group,year,month,grid_id,effort
EU,2004,1,470,19434
EU,2004,1,490,568
EU,2004,1,510,593
EU,2004,1,520,13429
EU,2004,1,538,10489
EU,2004,1,539,13071
EU,2004,1,540,127152
EU,2004,1,541,11584
EU,2004,1,543,21674
EU,2004,1,544,19890
EU,2004,1,556,44196
EU,2004,1,557,71631
EU,2004,1,560,27590
EU,2004,1,574,388305
EU,2004,1,590,78570
EU,2004,1,624,7161
JP,2004,1,526,34634
JP,2004,1,543,222670
JP,2004,1,544,250009
JP,2004,1,559,6173
JP,2004,1,560,4709
JP,2004,1,561,14584
JP,2004,1,578,12331
JP,2004,1,593,116357
JP,2004,1,594,118244
JP,2004,1,595,17501
JP,2004,1,610,844627
JP,2004,1,611,1147326
JP,2004,1,612,18948
JP,2004,1,627,292723
JP,2004,1,628,208515
JP,2004,1,629,20704
OTH,2004,1,595,191845
TW,2004,1,489,295688
TW,2004,1,506,353778
TW,2004,1,507,539363
TW,2004,1,508,1024798
TW,2004,1,523,216619
TW,2004,1,524,168413
TW,2004,1,525,325097
TW,2004,1,526,36522
TW,2004,1,527,15067
TW,2004,1,540,50181
TW,2004,1,541,70787
TW,2004,1,542,176836
TW,2004,1,543,679452
TW,2004,1,544,42488
TW,2004,1,557,33381
TW,2004,1,558,197992
TW,2004,1,559,1300107
TW,2004,1,560,686134
TW,2004,1,561,47611
TW,2004,1,575,11497
TW,2004,1,576,23120
TW,2004,1,577,1020699
TW,2004,1,578,172694
TW,2004,1,593,44172
TW,2004,1,594,1684615
TW,2004,1,595,246165
TW,2004,1,611,859452
TW,2004,1,627,11487
TW,2004,1,628,32968
TW,2004,1,639,39595
TW,2004,1,642,27591
TW,2004,1,644,33791
TW,2004,1,645,10746
EU,2004,2,543,8795
EU,2004,2,544,48333
TW,2004,1,646,15874
TW,2004,1,656,3610
EU,2004,2,486,11749
EU,2004,2,507,1495
EU,2004,2,510,27654
EU,2004,2,521,55610
EU,2004,2,522,94152
EU,2004,2,523,2728
EU,2004,2,524,27748
EU,2004,2,538,300213
EU,2004,2,540,67072
EU,2004,2,555,11557
EU,2004,2,557,162873
EU,2004,2,558,75787
EU,2004,2,559,69178
EU,2004,2,560,58447
EU,2004,2,561,27820
EU,2004,2,574,117532
EU,2004,2,590,50371
JP,2004,2,526,21330
JP,2004,2,543,106185
JP,2004,2,544,78537
JP,2004,2,559,23274
JP,2004,2,560,24317
JP,2004,2,561,13092
JP,2004,2,576,3530
JP,2004,2,577,85527
JP,2004,2,578,80625
JP,2004,2,593,57491
JP,2004,2,594,101688
JP,2004,2,595,839262
JP,2004,2,610,241240
JP,2004,2,611,884504
JP,2004,2,612,400797
JP,2004,2,627,52817
JP,2004,2,628,115731
JP,2004,2,629,24516
OTH,2004,2,577,14090
OTH,2004,2,593,36523
OTH,2004,2,595,81327
OTH,2004,2,629,40840
TW,2004,2,470,46881
TW,2004,2,471,79524
TW,2004,2,486,136619
TW,2004,2,487,37236
TW,2004,2,488,171565
TW,2004,2,489,539937
TW,2004,2,490,36786
TW,2004,2,504,30583
TW,2004,2,505,66294
TW,2004,2,506,531437
TW,2004,2,507,686603
TW,2004,2,508,380063
TW,2004,2,521,1882
TW,2004,2,522,4281
TW,2004,2,523,95109
TW,2004,2,524,9668
TW,2004,2,526,106757
TW,2004,2,537,13944
